exp_ids,treatment,plant_id,maleid,tactic,female_mating_status,mated,femaleid
1_10_21_1,two_males,Plant_03,M119,call,mated,0,F096
1_10_21_1,two_males,Plant_03,M120,silent,mated,0,F096
1_10_21_2,two_males,Plant_03,M118,call,mated,0,F097
1_10_21_2,two_males,Plant_03,M145,silent,mated,1,F097
1_10_21_3,two_males,Plant_03,M147,call,mated,0,F098
1_10_21_3,two_males,Plant_03,M150,silent,mated,0,F098
11_10_21_1,two_males,Plant_03,M156,call,mated,0,F114
11_10_21_1,two_males,Plant_03,M154,silent,mated,0,F114
12_10_21_1,two_males,Plant_03,M138,call,mated,0,F116
12_10_21_1,two_males,Plant_03,M166,silent,mated,0,F116
12_10_21_2,two_males,Plant_03,M135,call,mated,0,F117
12_10_21_2,two_males,Plant_03,M152,silent,mated,0,F117
13_10_21_1,two_males,Plant_03,M137,call,mated,0,F122
13_10_21_1,two_males,Plant_03,M168,silent,mated,0,F122
13_10_21_2,two_males,Plant_03,M157,call,mated,0,F123
13_10_21_2,two_males,Plant_03,M167,silent,mated,0,F123
18_10_21_3,two_males,Plant_03,M172,call,mated,0,F126
18_10_21_3,two_males,Plant_03,M174,silent,mated,0,F126
19_10_21_1,single_male,Plant_03,M169,silent,mated,0,F128
2_10_21_1,two_males,Plant_03,M143,call,mated,0,F100
2_10_21_1,two_males,Plant_03,M144,silent,mated,1,F100
21_10_21_1,two_males,Plant_03,M190,call,mated,0,F134
21_10_21_1,two_males,Plant_03,M191,silent,mated,0,F134
27_9_21_1,two_males,Plant_03,M114,call,mated,1,F083
27_9_21_1,two_males,Plant_03,M127,silent,mated,0,F083
4_10_21_1,two_males,Plant_03,M132,call,mated,0,F101
4_10_21_1,two_males,Plant_03,M128,silent,mated,0,F101
7_10_21_1,two_males,Plant_03,M131,call,mated,0,F105
7_10_21_1,two_males,Plant_03,M128,silent,mated,0,F105
24_9_21_1,single_male,plant_03,M111,call,mated,0,F082
24_9_21_2,single_male,plant_03,M113,call,mated,0,F081
27_9_21_1,single_male,plant_03,M112,call,mated,1,F086
27_9_21_2,single_male,plant_03,M125,call,mated,0,F084
28_9_21_1,single_male,plant_03,M123,call,mated,1,F089
28_9_21_2,single_male,plant_03,M124,call,mated,1,F090
29_9_21_2,single_male,plant_03,M117,call,mated,1,F092
29_9_21_3,single_male,plant_03,M116,call,mated,0,F093
30_9_21_1,single_male,plant_03,M142,call,mated,0,F094
30_9_21_2,single_male,plant_03,M115,call,mated,0,F095
2_10_21_1,single_male,plant_03,M146,call,mated,0,F099
4_10_21_2,single_male,plant_03,M129,call,mated,1,F102
7_10_21_1,single_male,plant_03,M133,call,mated,0,F106
7_10_21_2,single_male,plant_03,M134,call,mated,0,F108
8_10_21_1,single_male,plant_03,M153,call,mated,0,F107
8_10_21_2,single_male,plant_03,M149,call,mated,0,F110
9_10_21_1,single_male,plant_03,M151,call,mated,0,F113
12_10_21_3,single_male,plant_03,M158,call,mated,0,F118
18_10_21_1,single_male,plant_03,M170,call,mated,0,F124
18_10_21_2,single_male,plant_03,M136,call,mated,0,F125
19_10_21_2,single_male,plant_03,M173,call,mated,0,F127
29_9_21_1,single_male,plant_03,M141,silent,mated,0,F091
4_10_21_3,single_male,plant_03,M130,silent,mated,0,F103
5_11_21_1,single_male,plant_03,M231,silent,mated,0,F160
12_11_21_1,single_male,plant_03,M250,silent,mated,0,F184
16_11_21_1,single_male,plant_03,M255,silent,mated,0,F195
24_11_21_1,single_male,plant_03,M265,silent,mated,0,F204
25_11_21_1,single_male,plant_03,M268,silent,mated,0,F205
28_11_21_1,single_male,plant_03,M267,silent,mated,0,F212
