Male_ID,Tactic,Body_Length_mm
M101,Baffling,9.7
M102,Baffling,12.26
M120,Baffling,12.98
M138,Baffling,13.5
M144,Baffling,12.58
M145,Baffling,12.79
M149,Baffling,13.07
M159,Baffling,12.97
M165,Baffling,11.67
M172,Baffling,12.91
M187,Baffling,12.83
M204,Baffling,12.91
M205,Baffling,12.84
M209,Baffling,12.32
M218,Baffling,12.94
M227,Baffling,13.06
M237,Baffling,12.01
M32,Baffling,12.16
M44,Baffling,11.23
M45,Baffling,11.13
M52,Baffling,11.59
M54,Baffling,11.45
M69,Baffling,13.48
M121,Calling,13.45
M126,Calling,11.8
M132,Calling,12.53
M135,Calling,13.02
M135,Calling,13.02
M137,Calling,12.56
M147,Calling,12.32
M163,Calling,12.33
M167,Calling,11.06
M188,Calling,11.51
M194,Calling,11.5
M196,Calling,12.53
M198,Calling,12.77
M204,Calling,12.91
M247,Calling,12.04
M255,Calling,10.38
M288,Calling,10.51
M68,Calling,13.21
M79,Calling,12.15
M84,Calling,12.4
M90,Calling,12.72
